zip_code,state,county,city,population,population_density,median_household_income,average_household_income,median_age,poverty_rate,unemployment_rate,land_area_sq_mi,geoid
11023,New York,,,9630.0,,,,,,,,
11024,New York,,,9155.0,,,,,,,,
11030,New York,,,18051.0,,,,,,,,
11040,New York,,,41988.0,,,,,,,,
11042,New York,,,141.0,,,,,,,,
11050,New York,,,32794.0,,,,,,,,
11096,New York,,,10428.0,,,,,,,,
11101,New York,,,42219.0,,,,,,,,
11102,New York,,,28503.0,,,,,,,,
11103,New York,,,35163.0,,,,,,,,
11104,New York,,,26132.0,,,,,,,,
11105,New York,,,37936.0,,,,,,,,
11106,New York,,,40930.0,,,,,,,,
11109,New York,,,7948.0,,,,,,,,
11201,New York,,,70674.0,,,,,,,,
11203,New York,,,74817.0,,,,,,,,
11204,New York,,,79800.0,,,,,,,,
11205,New York,,,51676.0,,,,,,,,
11206,New York,,,93020.0,,,,,,,,
11207,New York,,,93198.0,,,,,,,,
11208,New York,,,105428.0,,,,,,,,
11209,New York,,,71004.0,,,,,,,,
11210,New York,,,57915.0,,,,,,,,
11211,New York,,,65314.0,,,,,,,,
11212,New York,,,89020.0,,,,,,,,
11213,New York,,,68846.0,,,,,,,,
11214,New York,,,89397.0,,,,,,,,
11215,New York,,,70441.0,,,,,,,,
11216,New York,,,60685.0,,,,,,,,
11217,New York,,,43490.0,,,,,,,,
11218,New York,,,72042.0,,,,,,,,
11219,New York,,,94196.0,,,,,,,,
11220,New York,,,90652.0,,,,,,,,
11221,New York,,,91588.0,,,,,,,,
11222,New York,,,42853.0,,,,,,,,
11223,New York,,,78093.0,,,,,,,,
11224,New York,,,50822.0,,,,,,,,
11225,New York,,,58158.0,,,,,,,,
11226,New York,,,95144.0,,,,,,,,
11228,New York,,,42241.0,,,,,,,,
11229,New York,,,78377.0,,,,,,,,
11230,New York,,,86978.0,,,,,,,,
11231,New York,,,38276.0,,,,,,,,
11232,New York,,,27816.0,,,,,,,,
11233,New York,,,81822.0,,,,,,,,
11234,New York,,,83187.0,,,,,,,,
11235,New York,,,78558.0,,,,,,,,
11236,New York,,,88051.0,,,,,,,,
11237,New York,,,45334.0,,,,,,,,
11238,New York,,,58345.0,,,,,,,,
11239,New York,,,16410.0,,,,,,,,
11249,New York,,,47728.0,,,,,,,,
11354,New York,,,53028.0,,,,,,,,
11355,New York,,,80801.0,,,,,,,,
11356,New York,,,25824.0,,,,,,,,
11357,New York,,,43346.0,,,,,,,,
11358,New York,,,37665.0,,,,,,,,
11359,New York,,,0.0,,,,,,,,
11360,New York,,,19469.0,,,,,,,,
11361,New York,,,30127.0,,,,,,,,
11362,New York,,,18492.0,,,,,,,,
11363,New York,,,7223.0,,,,,,,,
11364,New York,,,35276.0,,,,,,,,
11365,New York,,,42322.0,,,,,,,,
11366,New York,,,13463.0,,,,,,,,
11367,New York,,,40923.0,,,,,,,,
11368,New York,,,105716.0,,,,,,,,
11369,New York,,,35133.0,,,,,,,,
11370,New York,,,30267.0,,,,,,,,
11371,New York,,,0.0,,,,,,,,
11372,New York,,,64756.0,,,,,,,,
11373,New York,,,98403.0,,,,,,,,
11374,New York,,,46989.0,,,,,,,,
11375,New York,,,76839.0,,,,,,,,
11377,New York,,,81690.0,,,,,,,,
11378,New York,,,36392.0,,,,,,,,
11379,New York,,,36773.0,,,,,,,,
11385,New York,,,101704.0,,,,,,,,
11411,New York,,,20540.0,,,,,,,,
11412,New York,,,39828.0,,,,,,,,
11413,New York,,,45965.0,,,,,,,,
11414,New York,,,31308.0,,,,,,,,
11415,New York,,,21154.0,,,,,,,,
11416,New York,,,25919.0,,,,,,,,
11417,New York,,,30578.0,,,,,,,,
11418,New York,,,35481.0,,,,,,,,
11419,New York,,,47441.0,,,,,,,,
11420,New York,,,49415.0,,,,,,,,
11421,New York,,,40612.0,,,,,,,,
11422,New York,,,33757.0,,,,,,,,
11423,New York,,,28534.0,,,,,,,,
11424,New York,,,0.0,,,,,,,,
11426,New York,,,19411.0,,,,,,,,
11427,New York,,,24607.0,,,,,,,,
11428,New York,,,19028.0,,,,,,,,
11429,New York,,,26832.0,,,,,,,,
11430,New York,,,588.0,,,,,,,,
11432,New York,,,62892.0,,,,,,,,
11433,New York,,,37884.0,,,,,,,,
11434,New York,,,68263.0,,,,,,,,
11435,New York,,,56826.0,,,,,,,,
11436,New York,,,22527.0,,,,,,,,
11439,New York,,,2170.0,,,,,,,,
11451,New York,,,0.0,,,,,,,,
11501,New York,,,21641.0,,,,,,,,
11507,New York,,,6736.0,,,,,,,,
11509,New York,,,1790.0,,,,,,,,
11510,New York,,,35701.0,,,,,,,,
11514,New York,,,4544.0,,,,,,,,
11516,New York,,,9112.0,,,,,,,,
11518,New York,,,10149.0,,,,,,,,
11520,New York,,,44910.0,,,,,,,,
11530,New York,,,27939.0,,,,,,,,
11542,New York,,,28965.0,,,,,,,,
11545,New York,,,12172.0,,,,,,,,
11547,New York,,,706.0,,,,,,,,
11548,New York,,,2261.0,,,,,,,,
11549,New York,,,2359.0,,,,,,,,
11550,New York,,,60960.0,,,,,,,,
11552,New York,,,25174.0,,,,,,,,
11553,New York,,,27875.0,,,,,,,,
11554,New York,,,36821.0,,,,,,,,
11556,New York,,,0.0,,,,,,,,
11557,New York,,,8504.0,,,,,,,,
11558,New York,,,8454.0,,,,,,,,
11559,New York,,,8878.0,,,,,,,,
11560,New York,,,7696.0,,,,,,,,
11561,New York,,,38708.0,,,,,,,,
11563,New York,,,22899.0,,,,,,,,
11565,New York,,,9009.0,,,,,,,,
11566,New York,,,34741.0,,,,,,,,
11568,New York,,,4144.0,,,,,,,,
11569,New York,,,945.0,,,,,,,,
11570,New York,,,28908.0,,,,,,,,
11572,New York,,,30436.0,,,,,,,,
11575,New York,,,18705.0,,,,,,,,
11576,New York,,,12281.0,,,,,,,,
11577,New York,,,13077.0,,,,,,,,
11579,New York,,,5033.0,,,,,,,,
11580,New York,,,43092.0,,,,,,,,
11581,New York,,,22818.0,,,,,,,,
11590,New York,,,47599.0,,,,,,,,
11596,New York,,,10516.0,,,,,,,,
11598,New York,,,13599.0,,,,,,,,
11691,New York,,,69359.0,,,,,,,,
11692,New York,,,22734.0,,,,,,,,
11693,New York,,,13244.0,,,,,,,,
11694,New York,,,21489.0,,,,,,,,
11697,New York,,,4429.0,,,,,,,,
11701,New York,,,29509.0,,,,,,,,
