zipcode,total_rat_sightings,mature_rat_sightings,closed_rat_sightings,median_resolution_days,average_resolution_days,avg_p90_resolution_days,resolved_within_30_days,not_resolved_within_30_days,avg_percent_unresolved_within_30_days,represented_inspections,inspected_restaurants,inspections_with_04k,percent_inspections_with_04k,complaint_percentile,inspection_evidence_percentile,potential_underreporting_score,interpretation
10304,98.0,92.0,92.0,0.0,3.74,10.6,90.0,2.0,3.069999999999993,77.0,43.0,0.0,0.0,39.3,0.0,-39.3,Datasets broadly similar
10305,93.0,85.0,81.0,0.0,7.14,16.4715,76.0,9.0,5.848500000000001,129.0,86.0,1.0,0.78,36.5,17.4,-19.1,Datasets broadly similar
10306,128.0,118.0,107.0,0.0,6.18,12.9115,100.0,18.0,9.582999999999998,196.0,138.0,1.0,0.51,46.6,15.7,-30.9,Datasets broadly similar
10307,9.0,7.0,6.0,0.0,3.01,3.608,6.0,1.0,16.66666666666667,44.0,26.0,1.0,2.27,5.1,38.8,33.7,Moderate potential under-reporting signal
10308,96.0,92.0,74.0,4.04,7.38,11.056666666666668,72.0,20.0,11.350555555555559,56.0,40.0,1.0,1.79,37.6,29.8,-7.8,Datasets broadly similar
10309,51.0,48.0,41.0,0.0,5.05,8.394666666666666,40.0,8.0,10.9375,105.0,75.0,0.0,0.0,25.3,0.0,-25.3,Datasets broadly similar
10310,96.0,91.0,86.0,0.0,5.46,8.870526315789474,83.0,8.0,7.134210526315783,87.0,58.0,1.0,1.15,37.6,20.2,-17.4,Datasets broadly similar
10312,151.0,148.0,130.0,0.02,5.24,9.939333333333332,127.0,21.0,13.163125000000008,100.0,71.0,0.0,0.0,54.5,0.0,-54.5,Reporting exceeds restaurant evidence
10314,128.0,122.0,123.0,0.0,3.75,10.279999999999998,115.0,7.0,6.432631578947365,285.0,187.0,6.0,2.11,46.6,36.0,-10.6,Datasets broadly similar
10451,163.0,148.0,159.0,0.0,2.02,5.667,148.0,0.0,0.0,234.0,127.0,10.0,4.27,59.0,71.9,12.9,Datasets broadly similar
10452,960.0,943.0,957.0,0.58,1.59,5.213500000000001,942.0,1.0,0.11350000000000193,185.0,97.0,11.0,5.95,100.0,87.6,-12.4,Datasets broadly similar
